ID,"Question 1: Naming Style - When naming methods, the name should use a standard naming style such as camelCase or under_score; Camel case uses upper case letters for each word. Underscore uses ""_"" to separate words.",Additional Comments:,"Question 2: Verb Phrase - When naming methods, the name should always contain a verb(s) or verb phrase that refers to the behavior of the method.",Additional Comments:,"Question 3: Dictionary Terms - When naming methods, developers should use only natural language dictionary words and/or familiar/domain-relevant terms.",Additional Comments:,"Questions 4: Abbreviations - When naming methods, the chosen name should contain only known or standard (i.e., recognized by others within the company) abbreviated terms. A poor abbreviation is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Questions 5: Acronyms - When naming methods, the name should contain only known or standard (i.e, recognized by others in the company) acronyms. A poor acronyms is one that has multiple possible expansions, interpretations or is not typically used within the system domain.",Additional Comments:,"Question 6: Size - When naming methods, the maximum number of words in a name should not be greater than:",Additional Comments:,"Question 7: Idioms and Slang - When naming methods, the name should not contain personal expressions, idioms, or unknown slang.",Additional Comments:,"Question 8: Grammatical Structure - When naming methods, names with multiple words should be in a grammatically correct sentence structure.",Additional Comments:,"Question 9: Full Words - When naming methods, the name should use full words rather than a single letter to clearly indicate the task of the method.",Additional Comments:,"Question 10: Prefix/Suffix - When naming methods, the name should not contain a prefix/suffix that is a term from the system. This standard does not apply to languages such as C that do not have namespaces.",Additional Comments:,"Is there any other method naming standards that you feel are important?  If so, please provide some details of the standard.","Coding Standards - At your place of work, are there strict naming conventions in their coding standards?",Please give a short description of the naming coding standards you use:,Which programming language are you familiar with? - Selected Choice,Which programming language are you familiar with? - Other language? Please specify below. - Text,How many years of programming experience do you have?
953,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Python,C#,Other language? Please specify below.","R, SQL",10+ years
954,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,4,,Disagree,,Strongly Agree,,Strongly Agree,,Agree,,,No Standards,,"C++,Python,Java,JavaScript,Other language? Please specify below.",PowerShell,5 - 9 years
955,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,5,,Agree,,Agree,,Strongly Agree,,Agree,,same order of parameters in similar methods,Strict,,"C++,Java,C,C#,JavaScript",,10+ years
956,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Java,C#,JavaScript",,5 - 9 years
957,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,"usually follows language standards, sometimes with additions/modifications because of legacy code or special cases not covered by the standard","Python,Java,C#,JavaScript",,5 - 9 years
958,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,4,,Disagree,,Agree,,Agree,,Agree,,,No Standards,,"Python,JavaScript",,5 - 9 years
959,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,"The programmers should follow a standard when using “get” to retrieve a variable from an object and “fetch” to retrieve from the server, for instance.",Strict,camelCase and snake_case,"Python,Java,C,C#,JavaScript",,5 - 9 years
960,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,Other language? Please specify below.,PHP,10+ years
961,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Java,Other language? Please specify below.",golang,3 - 4 years
962,Strongly Agree,,Agree,,Agree,One exception to this could be if the product itself has specific terminology that anyone working on the project must already know,Strongly Agree,,Agree,,5,,Agree,,Agree,,Agree,,Strongly Agree,,,Slightly Strict,,"Java,C#,JavaScript,Other language? Please specify below.","Kotlin, PHP, Go, Ocaml, Ruby, Bash",10+ years
963,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"C++,Python,Java,C#",,10+ years
964,Strongly Agree,,Agree,,Strongly Agree,,Agree,I would prefer if abbreviations are kept to a bare minimum. They act as barrier for any new person looking at the codebase.,Agree,,7,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Strict,"We use self descriptive method names in lower camel case style. Abbreviations are allowed, but I'm not personally in favor of them. Grammatical correctness is preferred but not everybody gets it right, which is okay.","C++,Java,C,C#,JavaScript,Other language? Please specify below.",Kotlin,3 - 4 years
965,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,7,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,is_ for bool,Not Strict,,"Python,Java,JavaScript",,3 - 4 years
966,Strongly Agree,,Disagree,object.getter = 1,Strongly Agree,,Disagree,Just be explicit and finish the name if ambiguous.,Agree,,4,,Agree,Unless part of the domain?,Disagree,"One may refer to an action on a resource, the other might be an accessor if that resource.",Strongly Agree,,Strongly Agree,,,Not Strict,,Other language? Please specify below.,Ruby,10+ years
967,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,7,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C++,Java,C,C#,JavaScript",,10+ years
968,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,15,,Strongly Agree,,Disagree,,Agree,,Agree,,,No Standards,,C#,,10+ years
969,Strongly Agree,,Strongly Agree,,Strongly Agree,,Disagree,,Strongly Agree,,4,,Agree,,Disagree,,Agree,,Agree,,,Not Strict,,"C++,Python,Java,C,JavaScript",,5 - 9 years
970,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Strict,,"C++,Python,C,JavaScript,Other language? Please specify below.","Haskell
Elixir",3 - 4 years
971,Strongly Agree,Pascal case for public methods camel case for private. No underscores. ,Strongly Agree,,Strongly Agree,,Agree,I disagree with abbreviations. String or str...what are you really saving?,Strongly Agree,,6,"Sometimes I need my re than 5 words, but it needs to convey the intent of the method. ",Strongly Agree,I STRONGLY encourage the removal of domain-specific jargon as well. ,Strongly Agree,This one is a huge pet peeve of mine. ,Strongly Agree,Duh,Strongly Agree,,Camel case for private Pascal case for public. I will die on this hill. ,No Standards,,"C++,Java,C#,JavaScript",,10+ years
972,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,15,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,,Not Strict,No detailed guidelines but have compiled some best practices from the community and use those.,"C#,Other language? Please specify below.",Swift,3 - 4 years
973,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,6,,Strongly Agree,,Disagree,,Strongly Agree,,Disagree,,,Strict,"No explicit standards, but generally expliciteness is prioritized.",Python,,5 - 9 years
974,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Very Strict,,C#,,10+ years
975,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Disagree,,5,,Disagree,,Agree,,Agree,,Agree,,,Slightly Strict,,C#,,10+ years
976,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Disagree,,5,,Disagree,,Disagree,,Strongly Agree,,Strongly Agree,,,Strict,We use a predefined coding standard. Some base rules are ignored. ,"JavaScript,Other language? Please specify below.",Php,5 - 9 years
977,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,6,,Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,"Java,C#,JavaScript",,5 - 9 years
978,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Agree,,Agree,,Strongly Agree,,Agree,,,Slightly Strict,,"Python,Java,C#,JavaScript",,10+ years
979,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Slightly Strict,"Enforce camel casing, meaningful and readable names","Java,C#,JavaScript",,10+ years
980,Strongly Agree,,Agree,,Agree,,Strongly Agree,,Agree,,6,,Agree,,Disagree,,Disagree,,Strongly Agree,,,Slightly Strict,,"Java,C,JavaScript,Other language? Please specify below.","PHP
Elixir
Ruby",10+ years
981,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Strict,,"Python,Java,JavaScript,Other language? Please specify below.","Ruby, PHP",5 - 9 years
982,Strongly Agree,Picking a style and using consistently is important. Which style is not ,Agree,,Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Slightly Strict,Unreal Engine,"C++,Java,C,C#",,10+ years
983,Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Disagree,"These kinds of terms should be used sparingly, but they're preferable to, e.g., ten-word method/var names",Agree,,Strongly Agree,,Strongly Agree,,"Properties/methods of objects should avoid redundancy in naming, similar to modules. E.g.: attendee.name is valid; attendee.attendee_name is not",No Standards,"No official standards, but code reviewers will call out confusing or inappropriate names roughly according to the standards in this survey","Python,JavaScript",,5 - 9 years
984,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,3,,Agree,,Agree,,Agree,,Agree,,,Strict,Camel case,"Java,C#,JavaScript,Other language? Please specify below.",Actionscript,10+ years
985,Strongly Agree,,Agree,Most of the time but not always,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Agree,,Agree,,Agree,,"Common words, for example openTab and openDialog, not showDialog or createDialog. Same with term like size, length, amount - usage should be consistent",Slightly Strict,We use a longer that enforces some naming standards,"C++,Python,Java,C#,JavaScript",,3 - 4 years
986,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Java,C,JavaScript",,10+ years
987,Strongly Agree,"Language specific, but consistency is most important",Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Java,JavaScript,Other language? Please specify below.",SQL,5 - 9 years
988,Strongly Agree,But I defy you to find a project which uses exclusively one or the other.,Agree,,Strongly Agree,"Anyone who likes the ""does not follow the standard"" examples shouldn't be allowed within 10 miles of my code.",Agree,"I think the negative examples are not particularly good, but that's mostly because ""known within the company"" is highly relative.",Strongly Agree,,3,,Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,"C++,Python,Java,C,C#,Other language? Please specify below.","Rust, Go, Swift, Scala, Bash",5 - 9 years
989,Strongly Agree,"Usually prefer to use a standard for acronyms, too, like getHttpHeader()",Strongly Agree,,Strongly Agree,names should be meaningful!,Strongly Agree,,Strongly Agree,,9,"I picked 9, but that's a bit of a WAG. some long names work: getNewDeviceWhenListEmpty() might be ok, but would feel long",Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,"Mentioned earlier: in camelCase, I prefer initialisms and the like to use lower case letters for the non-starting letters: getHttpHeader() or getXmlBody().",No Standards,"At my current employer, there do not seem to be explicit standards, but the code reflects a normal-seeming Java-y style guide for Java and JS, with lots of camelCase","Java,JavaScript",,5 - 9 years
990,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,5,,Strongly Agree,,Disagree,,Strongly Agree,,Agree,,Methods with similar purpose/behavior should have similar names,No Standards,,"Python,Other language? Please specify below.",VB.Net,5 - 9 years
991,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,12,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Java,C#,JavaScript",,10+ years
992,Strongly Agree,capital letters make it easier to separate the word into a sentence in my head,Strongly Agree,"a method is an action, and thus should be described as a verb",Strongly Agree,,Strongly Agree,,Strongly Agree,,5,"this is not the case when writing unit tests, as those are without a numeric limit",Agree,"this one I may stretch the rules on, but not by much",Strongly Agree,code should always be readable and we should be doing all we can to help with lucidity for those coming in behind us,Strongly Agree,,Strongly Agree,,"you should never use Hungarian notation, like boolIsValid() or stringGetName().",Strict,"public methods are pascal case, private are camel case. Full descriptive words are used and must correctly describe what is being done","C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.",go,10+ years
993,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,5,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Not Strict,"CamelCase is the convention, but not used 100% consistently","C++,Python,C,JavaScript",,10+ years
994,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"C++,Java,C",,10+ years
995,Agree,,Strongly Agree,,Strongly Agree,,Agree,,Disagree,,5,,Agree,,Strongly Agree,,Agree,,Disagree,,,Slightly Strict,"Besides what can be caught with linters, adherence to a particular style is not enforced.","C++,Python,C,Other language? Please specify below.",Go,10+ years
996,Agree,,Agree,,Agree,,Agree,,Agree,,4,,Agree,,Agree,,Agree,,Agree,,,Strict,,"C++,Python,Java,C,JavaScript",,10+ years
997,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,6,,Agree,,Disagree,,Agree,,Disagree,,"Consistency. Differentiate queries from commands, e.g. getXXX should not update anything. ",No Standards,,JavaScript,,10+ years
998,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,5,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,Code reviewers may suggest better names,"Java,C#,JavaScript",,10+ years
999,Agree,,Agree,,Agree,,Agree,,Agree,,5,,Agree,,Agree,,Agree,,Agree,,,Slightly Strict,,"Java,C,JavaScript,Other language? Please specify below.","PHP, Perl, R, BASIC",3 - 4 years
1000,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,4,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Python,Other language? Please specify below.","XSLT, MVEL",5 - 9 years
1001,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,5,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Strict,,"Java,C,C#,JavaScript",,5 - 9 years
1002,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,4,,Agree,,Agree,,Strongly Agree,,Agree,,Don't use Hungarian Notation,Strict,Descriptive English verbs,"Python,Java,C#,JavaScript,Other language? Please specify below.",Kotlin,5 - 9 years
1003,Agree,,Agree,,Strongly Agree,,Agree,,Agree,,3,,Agree,,Agree,,Agree,Hmm.. “db” is “database”. ,Agree,,,No Standards,,"C++,C,Other language? Please specify below.","perl, fortran, apl, R",10+ years
1004,Agree,,Agree,,Strongly Agree,,Agree,,Agree,,5,,Agree,,Agree,,Agree,,Strongly Agree,,,Strict,,"C++,C,C#,JavaScript",,10+ years
1005,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Disagree,,Agree,,Strongly Agree,,Agree,,,Strict,,"Python,Other language? Please specify below.",ruby ,5 - 9 years
1006,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Universal clarity is key,No Standards,,"Java,C#,JavaScript,Other language? Please specify below.",Objective-C,3 - 4 years
1007,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,4,,Disagree,,Agree,,Agree,,Agree,,,No Standards,,"Python,Java,JavaScript,Other language? Please specify below.","Php, sql, bash ",1 - 2 years
1008,Agree,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,7,,Agree,,Agree,,Strongly Agree,,,,,No Standards,,"C++,Python,Java,C,JavaScript",,10+ years
1009,Strongly Agree,,Disagree,,Agree,,Agree,,Strongly Agree,,8,,Disagree,,Disagree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"C++,Python,Java,C,JavaScript",,10+ years
1010,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,JavaScript,,1 - 2 years
1011,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,8,,Agree,,Agree,,Agree,,Agree,,,No Standards,,"C++,Python,C,C#,JavaScript",,5 - 9 years
1012,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,5,,Agree,,Disagree,,Agree,,Agree,,,Strict,,JavaScript,,5 - 9 years
1013,Strongly Agree,,,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Very Strict,,JavaScript,,10+ years
1014,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,8,,Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Very Strict,"We like consistency but hate churn and pointless bikeshedding so we use Prettier. For names, common sense.","C#,JavaScript,Other language? Please specify below.","Swift, Ruby, Bash",10+ years
1015,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"Python,Java,JavaScript",,3 - 4 years
1016,Strongly Agree,,Agree,isSomethingComplex() for boolean methods,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,C,,10+ years
1017,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Agree,,Agree,,Strongly Agree,,Strongly Agree,,,Strict,,"C#,JavaScript",,10+ years
1018,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,"I would extend the known abbreviations to common usage outside the company. Mergers, language slip, etc. Consider the y2k time, when very old code was reviewed.",Strongly Agree,See previous comment. Not just company-known.,5,,Strongly Agree,,Agree,,Strongly Agree,,Agree,"There are cases in which this might apply. Compatibility code, translations between systems, etcetera.",,No Standards,,"Python,Java,C,JavaScript",,10+ years
1019,Strongly Agree,"Additionally, for my eyes, snake-case (words_with_underscores) is much easier to read compared to camelCase. ",Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,15,"I disagree completely. Some method names in Objective-C, Swift, Java, etc are verbose, but it makes them easier to read and reason about. For instance: url.appendingPathComponent(""test""). Why limit the number? It would make naming methods harder than it already is!",Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,No Standards,,"C++,Python,Java,C,Other language? Please specify below.","Swift, Objective-C, Rust",10+ years
1020,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,5,,Agree,,Agree,,Agree,,Agree,,,No Standards,,Python,,1 - 2 years
1021,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,7,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,"Camel case, snake case, kebab case","Python,Java,JavaScript",,10+ years
1022,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,5,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"Java,JavaScript",,10+ years
1023,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,15,,Disagree,,Agree,,Strongly Disagree,,Strongly Disagree,,"It should be clear to others what it does, together with the types (if available).",No Standards,,"Python,Java,C,C#,JavaScript,Other language? Please specify below.","Kotlin, ML, Typescript",10+ years
1024,Strongly Agree,,Agree,always verb unless it is a getter,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Disagree,allowed if the scope of application is small (eg used only in the same class it is declared),Strongly Agree,,Strongly Agree,,Agree,,,Strict,we concur when to allow exceptions,Other language? Please specify below.,Ruby,10+ years
1025,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Agree,,Agree,,Strongly Agree,,Disagree,,,Strict,,"JavaScript,Other language? Please specify below.",Ruby,3 - 4 years
1026,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,No Standards,,"C++,Java,C,C#,JavaScript",,10+ years
1027,Strongly Agree,,Agree,,Strongly Agree,,Disagree,,Disagree,,5,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"JavaScript,Other language? Please specify below.",Perl,10+ years
1028,Strongly Agree,,Strongly Agree,,Strongly Agree,,,,Strongly Agree,,14,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,No Standards,,"C++,C,JavaScript,Other language? Please specify below.",Rust,10+ years
1029,Agree,,Agree,,Agree,,Agree,,Agree,,5,sometimes method names do get longer,Strongly Agree,,Agree,,Agree,,Agree,,,Slightly Strict,,"Python,Java,C,JavaScript",,5 - 9 years
1030,Strongly Agree,,Strongly Agree,,Agree,,Agree,,Strongly Agree,,14,,Agree,,Agree,,Agree,,Strongly Agree,,,Strict,,"C++,Java,C,C#,JavaScript",,10+ years
1031,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,3,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,,No Standards,,"Java,C#,JavaScript",,10+ years
1032,Strongly Agree,,Disagree,,Agree,,Agree,,Strongly Agree,,6,,Strongly Agree,,Disagree,,Agree,,Agree,,,Strict,Our coding standard are a slightly modified version of the Google C++ Style Guide,C++,,3 - 4 years
1033,Strongly Agree,,Agree,"There can be exceptions, e.g. writing getters in some languages where the verb get makes no sense in the method name",Strongly Agree,,Agree,,Agree,,5,,Agree,,Agree,,Strongly Agree,,Agree,,,Strict,,"C++,Java,C,C#,JavaScript",,10+ years
1034,Disagree,Obliged to use at work.: fFunctionName(),Disagree,,Agree,,Agree,,Agree,,15,,Strongly Agree,,Disagree,,Agree,,Agree,,The method name is independent to the variables passed in or returned. ,Strict,"fFunctionName(). It's horrible, but I followed the standard. ","Java,C#,JavaScript,Other language? Please specify below.","C/AL from Microsoft Dynamics NAV.
X++. ",10+ years
1035,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,4,,Agree,,Agree,,Agree,,Agree,This one is neutral for me,,Strict,,"C++,C",,10+ years
1036,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Agree,,7,,Strongly Agree,,Agree,,Strongly Agree,,Disagree,,,No Standards,,"C++,Python,Java,C,C#,JavaScript",,10+ years
1037,Strongly Agree,,Agree,,Agree,,Agree,,Agree,,6,,Agree,,Agree,,Agree,,Agree,,,Not Strict,,"C#,JavaScript",,3 - 4 years
1038,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,7,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,No Standards,,"Python,C,C#,JavaScript",,5 - 9 years
1039,Strongly Agree,,Strongly Agree,,,,Strongly Agree,,,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,,,Strict,,"C#,JavaScript",,10+ years
1040,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,6,,Agree,,Agree,,Strongly Agree,,Agree,,,Strict,Google code style,"Python,Java,JavaScript",,10+ years
1041,Strongly Agree,,Agree,,Strongly Agree,,Agree,,Strongly Agree,,8,,Disagree,,Agree,,Agree,,Agree,,,No Standards,,"C++,Java,C#,JavaScript",,10+ years
1042,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Agree,,5,,Strongly Agree,,Agree,,Agree,,Agree,,"Keep method names concise, too long is as bad as too short",No Standards,,"Python,Java,C#,JavaScript",,10+ years
1043,Strongly Agree,,Disagree,,Agree,,Agree,,Strongly Agree,,4,,Agree,,Strongly Agree,,Agree,,Agree,,,Slightly Strict,,Java,,5 - 9 years
1044,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,5,,Agree,,Disagree,,Strongly Agree,,Strongly Agree,,,Slightly Strict,,"C++,C,JavaScript",,10+ years
1045,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,"Even standard abbreviations should be avoided. We only allow very rare ones like db , but never str or such",Strongly Agree,,7,"Clarity is key, short of possible,  it clarity wins over conciseness",Strongly Agree,,Agree,The exception being for structuring a set of common methods with the same prefix and vary just by suffix. This may result in a garamitcally awkward pattern but one in which the related math ids are nicely tied together,Strongly Agree,,Strongly Agree,,,Strict,,"C#,JavaScript,Other language? Please specify below.",Ruby,10+ years
1046,Strongly Agree,,Disagree,,Agree,,Agree,,Strongly Agree,,8,,Agree,,Disagree,,Agree,,Agree,,naming is hard so don't feel too bad naming something badly,Slightly Strict,,JavaScript,,5 - 9 years
1047,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,4,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,,Strict,,"C++,Java,C,JavaScript,Other language? Please specify below.",Haskell,10+ years
1048,Strongly Agree,,Strongly Agree,,Strongly Agree,,,,Strongly Agree,,5,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,,,"C++,Java,JavaScript,Other language? Please specify below.","Apex
Typescript",10+ years
1049,Strongly Agree,,Agree,,Strongly Agree,,Strongly Agree,,Agree,Avoid acronyms whet possible ,5,Find is ok if it’s on a typed object or has a typed return that completes the logic. E.g. find(id: FooId): Foo,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,,No Standards,,"Java,C#,JavaScript,Other language? Please specify below.","Scala, Rust",5 - 9 years
1050,Strongly Agree,I always use camelcase as naming style to offer better readablility,Strongly Agree,,Strongly Agree,,Agree,,Strongly Agree,,5,,Strongly Agree,,Agree,,Agree,,Disagree,,,Not Strict,,"Java,C#,JavaScript",,3 - 4 years
1051,Strongly Agree,,Disagree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Disagree,,,Very Strict,"CamelCase, methods start with uppercase. Private start with _","C++,Python,Java,C,C#,JavaScript,Other language? Please specify below.",Loads,10+ years
1052,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,4,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,,Strict,Tooling prevents very short names and some redundancy. Code review culture also catches other types of poor name choices,"Python,Java,JavaScript,Other language? Please specify below.","Ruby, elixir ",5 - 9 years
1053,Strongly Agree,,Agree,,,,Agree,,Strongly Agree,,4,,Agree,,Disagree,,Strongly Agree,,Strongly Agree,,,Strict,,C#,,10+ years
1054,Strongly Agree,,Disagree,,Disagree,,Strongly Agree,,Agree,,3,,Strongly Agree,,Disagree,,Disagree,,Agree,,,No Standards,,"Python,Java,C,C#,JavaScript",,10+ years
1055,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,3,,Strongly Agree,,Strongly Agree,,Strongly Agree,,Agree,,,Not Strict,,"Java,JavaScript",,10+ years
1056,Agree,,Disagree,,Agree,,Agree,,Agree,,4,No minimum,Agree,,Strongly Disagree,,Agree,,Disagree,Depends,,Slightly Strict,,"Python,Java,C,JavaScript,Other language? Please specify below.","Elixir, bash",10+ years
1057,Strongly Agree,I am pro camel case,Strongly Agree,,Strongly Agree,,Strongly Agree,,Strongly Agree,,6,,Strongly Agree,,Agree,,Strongly Agree,,Agree,,"Reading the method name should give insication of the return type and/or parameters needed. A method that returns boolean should not be named getOver45(), it should be isOver45(). The example might not be that inspired, but a method named computePerimeter of a Square class should take just the length as a parameter, any others would be confusing.",Very Strict,,Java,,5 - 9 years
